GNSS Locations for ALL the Earthquakes
st_name	lat	lon	elv	samp_rate	gain	unit
0358	34.6697	134.9657	0.0	1.00	1.000000e+04	counts/cm
0359	34.5771	135.0241	0.0	1.00	1.000000e+04	counts/cm
0360	34.4933	134.8610	0.0	1.00	1.000000e+04	counts/cm
0361	34.3498	134.8815	0.0	1.00	1.000000e+04	counts/cm
0362	34.3343	134.7352	0.0	1.00	1.000000e+04	counts/cm
0363	34.2237	134.7365	0.0	1.00	1.000000e+04	counts/cm
0364	34.5670	136.0504	0.0	1.00	1.000000e+04	counts/cm
0365	34.5392	135.7310	0.0	1.00	1.000000e+04	counts/cm
0366	34.3883	135.7042	0.0	1.00	1.000000e+04	counts/cm
0367	34.0382	135.9637	0.0	1.00	1.000000e+04	counts/cm
0368	34.2561	135.3580	0.0	1.00	1.000000e+04	counts/cm
0369	34.2715	135.0660	0.0	1.00	1.000000e+04	counts/cm
0370	34.2218	135.5901	0.0	1.00	1.000000e+04	counts/cm
0371	33.9617	135.3849	0.0	1.00	1.000000e+04	counts/cm
0372	33.9139	135.1801	0.0	1.00	1.000000e+04	counts/cm
0373	33.8152	135.7821	0.0	1.00	1.000000e+04	counts/cm
0374	33.7855	135.5084	0.0	1.00	1.000000e+04	counts/cm
0375	33.7443	135.3962	0.0	1.00	1.000000e+04	counts/cm
0377	33.5056	135.5992	0.0	1.00	1.000000e+04	counts/cm
0378	35.4568	134.0467	0.0	1.00	1.000000e+04	counts/cm
0379	35.3455	133.4391	0.0	1.00	1.000000e+04	counts/cm
0380	35.2659	134.2374	0.0	1.00	1.000000e+04	counts/cm
0381	35.1646	133.3085	0.0	1.00	1.000000e+04	counts/cm
0382	36.2853	133.2399	0.0	1.00	1.000000e+04	counts/cm
0383	36.0932	132.9844	0.0	1.00	1.000000e+04	counts/cm
0384	35.3926	132.7432	0.0	1.00	1.000000e+04	counts/cm
0385	35.1956	132.9954	0.0	1.00	1.000000e+04	counts/cm
0386	35.1860	132.5073	0.0	1.00	1.000000e+04	counts/cm
0387	35.0198	132.7205	0.0	1.00	1.000000e+04	counts/cm
0388	34.7673	131.9231	0.0	1.00	1.000000e+04	counts/cm
0389	35.2635	133.7925	0.0	1.00	1.000000e+04	counts/cm
0390	35.0996	134.3196	0.0	1.00	1.000000e+04	counts/cm
0391	35.0209	134.2348	0.0	1.00	1.000000e+04	counts/cm
0392	35.0030	133.7345	0.0	1.00	1.000000e+04	counts/cm
0393	34.9825	133.9609	0.0	1.00	1.000000e+04	counts/cm
0394	34.8097	133.5981	0.0	1.00	1.000000e+04	counts/cm
0395	34.7914	133.9290	0.0	1.00	1.000000e+04	counts/cm
0396	34.6577	134.1658	0.0	1.00	1.000000e+04	counts/cm
0397	34.4386	133.7967	0.0	1.00	1.000000e+04	counts/cm
0398	34.9434	133.1202	0.0	1.00	1.000000e+04	counts/cm
0399	34.7269	132.2773	0.0	1.00	1.000000e+04	counts/cm
0400	34.6788	132.5402	0.0	1.00	1.000000e+04	counts/cm
0401	34.6725	133.1075	0.0	1.00	1.000000e+04	counts/cm
0402	34.5713	132.8240	0.0	1.00	1.000000e+04	counts/cm
0403	34.5392	132.4635	0.0	1.00	1.000000e+04	counts/cm
